qNums;queries
74;"  Conflicting Policy 

Document will cite an instance in which the U.S. government propounds two 
conflicting or opposing policies."
75;"  Automation 

Document will identify an instance in which automation has clearly paid off,
or conversely, has failed."
76;"  U.S. Constitution - Original Intent 

Document will include a discussion of, or debate over, the issue of the
original intent of the U.S. Constitution, or the meaning of a particular
amendment to the Constitution, or will present an individual's interpretation
of an amendment."
77;"  Poaching 

Document will report a poaching method used against a certain type of
wildlife."
78;"  Greenpeace 

Document will report activity by Greenpeace to carry out their environmental
protection goals."
79;"  FRG Political Party Positions 

Document will identify at least one German political party and report some
position which the party has taken in regard to a political, social, economic,
military, environmental, or international objective."
80;"  1988 Presidential Candidates Platforms 

Document will identify something about the platform of a 1988 presidential 
candidate."
81;" Financial crunch for televangelists in the wake of the PTL
scandal 

Document will report a loss of revenue of a televangelist in the aftermath of
the PTL scandal, or a financial crisis triggered by the scandal."
82;"  Genetic Engineering   

Document discusses a genetic engineering application, a product that has been,
is being, or will be developed by genetic manipulation, or attitudes toward
genetic engineering."
83;" Measures to Protect the Atmosphere 

Document will discuss plans, projects, agreements, treaties, or laws concluded
or under consideration aimed at protecting the atmosphere."
84;" Alternative/renewable Energy Plant & Equipment Installation 

Document will identify planned or under-construction alternative/renewable
energy plant or equipment installations."
85;"  Official Corruption 

Document will discuss allegations, or measures being taken against, corrupt
public officials of any governmental jurisdiction worldwide."
86;"  Bank Failures 

Document will identify recent bank failures within the United States,
specifying name, location, assets, and federal or state authorities taking
action."
87;" Criminal Actions Against Officers of Failed
               Financial Institutions 

Document will report on current criminal actions against officers of a failed
U.S. financial institution."
88;" Crude Oil Price Trends 

Document will provide quantitative data usable in charting international
crude oil price trends."
89;" ""Downstream"" Investments by OPEC Member States  

Document must identify an existing or pending investment by an OPEC member
state in any ""downstream"" operation."
90;" Data on Proven Reserves of Oil & Natural Gas
               Producers 

Document will provide totals or specific data on changes to the proven reserve
figures for any oil or natural gas producer."
91;" U.S. Army Acquisition of Advanced Weapons Systems 

Document will identify acquisition by the U.S. Army of specified advanced
weapons systems."
92;" International Military Equipment Sales 

Document will identify a proposed or recently concluded sale of military
equipment in the international arms market."
93;" What Backing Does the National Rifle Association
               Have? 

Document must describe or identify supporters of the National Rifle
Association (NRA), or its assets."
94;" Computer-aided Crime 

Document must identify a crime perpetrated with the aid of a computer."
95;" Computer-aided Crime Detection 

Document must describe a computer application to crime solving."
96;" Computer-Aided Medical Diagnosis 

Document must describe computer programs, or computerized equipment, which aid
in medical diagnosis."
97;" Fiber Optics Applications 

Document must identify instances of fiber optics technology actually in use."
98;" Fiber Optics Equipment Manufacturers 

Document must identify individuals or organizations which produce fiber optics
equipment."
99;"  Iran-Contra Affair 

Document will identify a development in the Iran-Contra Affair."
100;" Controlling the Transfer of High Technology 

Document will identify efforts by the non-communist, industrialized states to
regulate the transfer of high-tech goods or ""dual-use"" technologies to
undesirable nations."
101;" Design of the ""Star Wars"" Anti-missile Defense System 

Document will provide information on the proposed configuration, components, 
and technology of the U.S.'s ""star wars"" anti-missile defense system."
102;" Laser Research Applicable to the U.S.'s Strategic Defense 
Initiative 

Document will report on laser research related, or potentially related, to 
the U.S.'s Strategic Defense Initiative."
103;" Welfare Reform 

Document will report those proposed or enacted changes to U.S. federal, 
state, or local welfare laws and regulations which are propounded as reforms."
104;" Catastrophic Health Insurance 

Document will enumerate provisions of the U.S. Catastrophic Health Insurance 
Act of l988, or the political/legal fallout from that legislation."
105;" ""Black Monday"" 

Document will state reasons why U.S. stock markets crashed on 19 October 1987
(""Black Monday""), or report on attempts to guard against another such crash."
106;" U.S. Control of Insider Trading 

Document will report proposed or enacted changes to U.S. laws and 
regulations designed to prevent insider trading."
107;" Japanese Regulation of Insider Trading 

Document will inform on Japan's regulation of insider trading."
108;" Japanese Protectionist Measures 

Document will report on Japanese policies or practices which help protect 
Japan's domestic market from foreign competition."
109;" Find Innovative Companies 

Document must refer to one of the following OTC Ltd., Hi Tech Enterprises,
Minnesota Mining and Manufacturing, Integrated Solutions Inc., MIPS Computer
Systems Inc., or Ask Computer Systems Inc."
110;"	Black Resistance Against the South African Government 

Document will discuss efforts by the black majority in South Africa to 
overthrow domination by the white minority government."
111;"  Nuclear Proliferation 

Document will discuss efforts by the United Nations or those nations currently
possessing nuclear weapons to control the proliferation of nuclear weapons
capabilities to the non-nuclear weapons states."
112;"  Funding Biotechnology 

Document will provide financial data relative to answering the question, how
much money worldwide is being invested in the biotechnology arena?"
113;" New Space Satellite Applications 

Document will report on non-traditional applications of space satellite
technology."
114;" Non-commercial Satellite Launches 

Document will provide data on launches worldwide of non-commercial space
satellites."
115;" Impact of the 1986 Immigration Law 

Document will report specific consequence(s) of the U.S.'s Immigration Reform
and Control Act of 1986."
116;" Generic Drug Substitutions 

Document will identify a generic drug which can be substituted for a brand 
name drug in the treatment of at least one medical condition."
117;" Capacity of the U.S. Cellular Telephone Network 

Document will provide at least one datum which helps build a description,
quantification, and evaluation of the capacity of the U.S. cellular telephone
network."
118;" International Terrorists 

Document will provide background information on international terrorist groups
or individuals, or detail the activities of such groups or individuals."
119;" Actions Against International Terrorists 

Document will report activities by established political authorities against
international terrorists."
120;" Economic Impact of International Terrorism 

Document will report on actual or alleged private sector economic consequences
of international terrorism."
121;" Death from Cancer 

Document will discuss the life and death of a prominent U.S. person from a
specific form of cancer."
122;" RDT&E of New Cancer Fighting Drugs 

Document will report on the research, development, testing, and evaluation
(RDT&E) of a new anti-cancer drug developed anywhere in the world."
123;" Research into & Control of Carcinogens 

Document will report on studies into linkages between environmental factors or
chemicals which might cause cancer, and/or it will report on governmental
actions to identify, control, or limit exposure to those factors or chemicals
which have been shown to be carcinogenic."
124;" Alternatives to Traditional Cancer Therapies 

Document will report on innovative approaches to preventing or curing cancer."
125;" Anti-smoking Actions by Government 

Document will describe actions by public authorities to limit the human use of
tobacco."
126;" Medical Ethics and Modern Technology 

Document will discuss ethical issues attendant to contemporary advances in 
medical technology."
127;" U.S.-U.S.S.R. Arms Control Agreements 

Document will report the terms of arms control agreements concluded, under 
negotiation, or proposed between the United States and the Soviet Union."
128;"  Privatization of State Assets   

Document discusses a current or future sale to the private sector, by a 
government or government entity, of a business, businesses, or shares of a 
business owned by the state."
129;" Soviet Spying on the U.S. 

Document will report spying by the USSR within U.S. territory or against U.S. interests overseas."
130;" Jewish Emigration and U.S.-USSR Relations 

Document will report on the issue of Jewish emigration from the Soviet Union 
as it impacts on U.S.-Soviet relations."
131;" McDonnell Douglas Contracts for Military Aircraft 

Document will identify and quantify a contract awarded to McDonnell Douglas 
for production of military aircraft."
132;" ""Stealth"" Aircraft 

Document will provide cost, technical, and/or performance data on U.S. 
""stealth"" aircraft projects."
133;" Hubble Space Telescope 

Document will describe some design feature of the Hubble Space Telescope."
134;" The Human Genome Project 

Document will report on the objectives, processes, and organization of the 
human genome project."
135;" Possible Contributions of Gene Mapping to Medicine 

Document will report on efforts to locate and describe genes linked to 
inherited human diseases and/or report on the potential medical 
contributions such information might yield."
136;" Diversification by Pacific Telesis 

Document will report on attempts by Pacific Telesis to diversify beyond its 
basic business of providing local telephone service."
137;" Expansion in the U.S. Theme Park Industry 

Document will report on the building of a new or on the expansion/upgrade of 
an existing theme park by a U.S. corporation in the United States or overseas."
138;" Iranian Support for Lebanese Hostage-takers 

Document will give data linking Iran to groups in Lebanon which seize and 
hold Western hostages."
139;" Iran's Islamic Revolution - Domestic and Foreign Social 
Consequences 

Document will report on the religious, legal, cultural, and social 
consequences of Iran's Islamic Revolution within Iran and abroad."
140;" Political Impact of Islamic Fundamentalism 

Document will report on the political impact of Islamic fundamentalism within any nation other than Iran."
141;" Japan's Handling of its Trade Surplus with the U.S. 

Document will report on Japanese efforts to deal with U.S. complaints 
regarding Japan's surplus in bilateral trade."
142;" Impact of Government Regulated Grain Farming on International 
Relations 

Document will show how and why national governments supervise and protect 
their own growers of grain and/or how these policies impact a nation's 
foreign trade and diplomatic relations."
143;" Why Protect U.S. Farmers? 

Document will contribute to an analysis of how and why, and at what cost, 
the U.S. federal government protects, supports, and controls U.S. farming."
144;" Management Problems at the United Nations 

Document will report on alleged corruption, incompetence, or inefficiency in 
the management of the United Nation's staff, activities, or specialized 
agencies."
145;" Influence of the ""Pro-Israel Lobby"" 

Document will describe how, and how effectively, the so-called ""pro-Israel 
lobby"" operates in the United States."
146;" Negotiating an End to the Nicaraguan Civil War 

Document will report on the negotiating process leading to an end to the 
Nicaraguan civil war."
147;" Productivity Trends in the U.S. Economy 

Document will provide productivity statistics on the U.S. economy."
148;" Conflict in the Horn of Africa 

Document will report on the Ethiopia-Somalia War, civil wars within those 
nations, and/or the movement of refugees fleeing armed conflicts between or 
within Ethiopia and Somalia."
149;" Industrial Espionage 

Document will report on industrial espionage."
150;" U.S. Political Campaign Financing 

Document will report how U.S. politicians finance their election campaigns 
and/or moves to ""reform"" campaign finance practices."
